#{"t_start": 1699716314.356647, "env_id": "carla-v0-switch"}
r,l,t
2.532875,145,20.532218
7.049108,143,34.208194
6.43054,137,47.512959
1.101676,143,61.436413
0.867792,127,73.901058
10.290508,154,88.497964
5.80145,151,103.03321
3.256417,156,118.248112
7.468037,153,132.959344
8.217365,150,147.485354
2.966087,151,162.52388
3.994457,150,177.34237
7.034719,151,192.034475
4.425238,144,207.128096
7.560098,138,220.759884
2.472171,142,234.835172
10.227897,157,250.218662
6.886731,148,264.57652
7.804117,154,279.859433
5.947879,136,293.323369
15.502438,169,309.672364
4.332867,152,325.061444
-33.586972,33,330.051558
2.086922,156,345.746441
2.593088,135,359.465558
2.358481,146,374.155912
5.112227,142,388.396434
4.969875,135,402.248612
1.994535,135,417.03873
7.012284,141,431.197186
9.652562,140,445.128613
36.682568,236,467.793207
10.962608,155,483.369286
-25.663721,57,490.587859
-43.914336,4,493.122413
7.197049,151,508.312856
6.067953,139,522.695996
8.715145,150,537.971659
8.391355,137,551.721403
8.613328,136,565.42983
8.684504,155,581.01744
7.714728,142,595.533611
11.732716,150,610.555931
4.427423,135,625.255913
6.747045,154,640.858054
6.787789,149,656.182319
4.727305,145,671.075287
5.301964,138,685.56269
6.547452,153,701.068351
3.924838,133,715.121593
7.490705,136,729.302045
8.337644,149,744.628088
11.58265,156,760.415673
-0.182625,131,774.409667
8.752697,144,789.48287
3.684115,148,804.854525
382.35026,856,882.382686
5.121804,144,897.492117
9.536646,159,913.970379
9.143984,139,928.501894
7.103687,140,943.323599
4.077359,142,958.488133
6.640209,154,974.767135
3.666237,150,990.90089
2.362913,143,1006.363037
1.830758,136,1021.277765
23.042467,198,1042.507622
6.99428,128,1056.586982
6.489019,145,1072.483986
8.322007,146,1088.135482
1.855646,153,1104.809273
5.193015,144,1120.391466
8.203257,139,1135.282146
5.881784,150,1151.596682
22.307884,201,1172.588881
8.059265,151,1188.891853
5.759702,134,1203.642986
6.083183,136,1218.637442
5.265111,140,1234.015252
4.859265,140,1249.665255
10.775148,139,1265.523584
2.651801,134,1280.255447
7.975455,150,1296.352468
5.815738,136,1311.264488
6.668366,159,1328.535138
8.541807,149,1344.902493
9.628916,145,1360.847868
2.107242,112,1373.682474
2.547156,135,1388.788845
10.676353,159,1406.258939
7.443803,150,1422.788507
4.463692,128,1437.206601
4.785119,144,1452.886421
8.89276,142,1468.510298
5.25158,131,1483.169871
8.943889,152,1500.678204
4.549188,126,1514.824434
9.335449,145,1530.9073
9.45137,155,1548.285124
9.408043,149,1564.74847
15.975548,159,1582.133407
6.950819,137,1597.613307
10.757363,135,1612.531537
5.688762,129,1627.103039
4.373885,141,1642.875094
2.314504,133,1658.107084
9.6034,144,1673.995542
9.886835,141,1689.695096
7.392464,144,1705.663454
2.317706,140,20.556007
7.368392,138,33.918662
3.108352,133,47.232864
5.474872,133,60.311508
4.00547,143,74.357765
5.585444,138,87.88081
10.73227,166,103.810404
3.617803,152,118.794713
7.431284,139,132.572147
4.253566,131,145.768301
6.617353,149,160.417678
4.038736,146,174.873964
2.092725,131,188.252031
6.078291,150,203.215033
3.542355,145,20.982941
6.818695,143,34.760124
9.839385,137,48.127993
3.276077,139,62.019925
7.705316,140,75.688749
8.531915,144,89.751526
6.098606,146,104.056347
6.869155,160,119.796573
8.280778,133,132.896417
9.656923,141,146.870399
9.783675,165,163.231704
7.202652,145,177.681661
5.410061,149,192.405759
3.462177,123,204.955828
1.90192,145,20.740613
0.79124,144,34.632925
4.728971,136,47.920124
1.527162,152,62.678435
6.639807,141,76.340017
7.021346,139,89.969043
6.368833,148,104.449153
13.024062,175,121.257111
2.135025,144,135.601
6.325576,139,149.15237
3.539763,157,164.6926
2.472604,147,179.140285
2.303729,143,193.482271
3.078471,135,206.9732
2.746906,140,20.767273
9.146783,148,35.008243
6.103096,126,47.572756
2.207118,128,60.463393
4.000471,143,74.541741
6.961803,132,87.782243
4.979406,133,101.063219
1.585283,141,115.23952
5.344347,144,129.35967
6.129146,134,142.861353
3.734281,147,157.386483
1.263817,137,171.338283
2.493276,134,184.893699
18.553718,193,203.404593
-0.550632,145,20.914546
3.935042,148,35.253916
5.982915,148,49.630086
1.182554,151,64.41979
8.246556,143,78.411848
4.895256,142,92.409277
8.625222,152,107.349986
1.153925,146,122.020169
0.547775,146,136.630862
8.939046,150,151.613901
4.184743,155,167.309325
6.728242,155,182.604268
2.999801,144,196.937634
2.10043,153,21.637411
5.024366,142,35.264241
5.043403,141,49.007687
3.283585,142,63.149293
9.002327,140,77.09154
4.71375,136,90.557542
11.092301,146,104.753131
3.894243,144,119.198991
5.463201,139,132.9538
7.139936,139,146.629975
3.016614,153,161.739037
8.889016,146,176.481072
5.994776,141,190.588986
6.396211,137,204.238046
-0.399267,145,20.743659
7.432842,151,35.075428
3.697665,140,48.659193
1.718948,155,63.684423
4.246802,142,77.556148
3.897692,144,91.642774
5.333656,150,106.256261
2.115186,152,121.261584
0.35695,147,135.81477
7.064931,142,149.693338
1.9201,137,163.523736
6.970189,143,177.542202
3.428263,139,191.362684
4.947406,155,206.502407
2.003028,145,21.110154
6.664701,153,35.614018
6.281137,143,49.603366
3.029459,152,64.50527
7.643784,140,78.297774
6.690515,147,92.858671
7.38004,147,107.214824
8.695543,158,123.0004
1.253858,143,137.26261
7.914035,140,151.10724
13.634622,181,168.81111
3.882154,155,184.027493
2.16951,144,198.509702
2.163809,140,20.325608
10.355127,151,34.741742
13.095413,158,49.952425
4.474751,148,64.450033
15.62994,153,79.176865
4.659272,144,93.220204
8.822407,145,107.549813
4.908134,137,120.933867
3.512315,137,134.548991
9.292674,146,148.842389
6.713485,151,163.738964
14.090068,160,179.29454
1.022956,137,192.992956
3.0434,135,206.472217
1.01101,140,20.449738
7.046121,148,34.648871
5.787082,136,47.977636
12.653048,174,64.359974
6.726884,144,78.396414
5.75214,138,91.906422
19.356896,183,109.515145
3.273269,144,123.636812
4.233076,138,137.510715
12.074742,158,152.824511
13.878598,177,170.031486
0.421492,127,182.980638
0.049243,141,197.000421
3.504515,156,21.799066
4.470795,146,36.015179
0.977139,141,20.422457
7.697939,150,34.542089
7.13051,136,47.650733
5.382642,150,62.231684
6.323444,136,75.377278
4.973246,136,88.812566
10.885299,145,102.995841
1.557991,145,117.261979
9.782365,155,132.162822
-3.160521,120,144.172478
3.722833,131,157.220398
0.262752,152,172.240151
0.527548,130,185.353771
1.336432,144,199.664952
-0.836532,145,20.848025
6.249554,154,35.315372
3.831689,142,48.985813
0.270395,151,21.319712
6.567703,144,34.974759
18.911545,170,50.724277
15.540045,158,65.756871
15.971265,171,81.887605
23.694962,175,98.269917
9.152469,164,114.176845
5.135665,149,128.578153
13.220993,155,143.425036
11.586158,164,159.169283
1.504183,156,21.676246
1.835716,136,34.69072
4.513278,141,48.259862
5.502442,149,62.755975
7.871852,151,77.261482
3.07141,145,91.347495
7.18898,147,105.421144
5.242959,152,120.214602
2.675756,141,134.124293
9.13035,138,147.673022
4.559668,152,162.510178
3.545399,138,176.239642
4.259604,146,190.478982
1.196234,145,21.136264
4.447369,146,35.101319
5.311986,136,48.413957
0.393272,145,62.883227
6.543252,136,76.318523
3.010698,132,89.455103
8.965684,139,103.146497
16.894351,184,120.577473
3.110473,137,134.159472
7.058828,152,148.918366
1.510041,141,163.06612
3.313413,136,176.61787
0.685276,133,189.95427
4.586909,137,203.737659
0.851571,151,21.264649
8.401957,156,35.856826
14.281146,174,52.172744
7.497423,157,67.044454
24.065282,185,84.047275
16.713804,171,100.02095
2.424494,145,20.812875
6.685286,156,35.534748
6.054801,152,50.272151
1.578924,140,63.971629
7.082592,137,77.363659
5.857784,138,91.039309
6.578053,150,105.529738
2.360777,152,120.373395
5.927484,151,135.11526
7.409401,147,149.46533
4.602193,152,164.591492
16.559712,198,183.278135
3.747665,140,197.168243
12.485779,169,22.646711
5.81039,145,36.367192
19.363174,190,54.2988
3.017563,149,68.753225
23.24557,186,86.09452
17.318708,155,100.957073
10.148566,168,117.306798
21.593032,180,134.279666
24.952193,197,152.677592
4.869826,145,167.140193
6.041946,148,181.79511
4.755615,145,196.137408
-0.827089,149,21.140657
5.847776,150,35.35894
15.876012,177,52.114706
22.80268,181,69.096009
23.55025,192,86.947693
13.434594,156,102.139565
19.588195,189,120.196063
10.942446,157,135.613292
6.298305,141,149.641884
25.029243,197,168.628791
3.986782,155,183.97953
14.242508,166,200.129513
2.364554,148,21.207204
7.33878,158,36.098705
6.277849,138,49.615993
0.861483,140,63.483693
8.573752,149,77.908908
5.700208,144,91.894989
5.024821,148,106.278039
2.782394,137,120.070382
4.55384,144,134.150017
7.410593,136,147.498661
2.186804,143,161.68887
13.826491,186,179.479101
13.355152,175,196.289891
6.384117,169,22.459915
7.03921,144,36.172442
3.848418,152,50.641594
5.086072,142,64.184197
6.618593,132,77.053815
7.208677,155,91.708885
8.132722,149,106.108694
2.766749,138,119.379963
2.164212,133,132.500318
6.599212,134,145.505149
5.75323,162,161.201718
5.399656,136,174.531436
2.379835,136,187.942578
2.207435,139,201.681734
2.184179,141,20.435068
8.501705,147,34.520179
4.754587,132,47.509531
4.27557,144,61.700767
4.83783,134,74.825789
2.646948,141,88.631019
12.275464,155,103.44393
0.182314,156,118.743955
2.77901,137,132.215452
2.031372,141,146.101545
0.180936,144,160.433751
5.687089,149,175.300161
5.835257,141,189.613667
5.635651,153,204.768337
0.039689,145,20.866078
6.098294,156,35.617815
5.069783,143,49.365834
1.443974,149,63.913288
9.603321,147,78.237996
4.706686,142,92.114577
-0.543334,129,105.040813
1.016501,147,119.583516
3.458065,140,133.47716
2.892935,142,147.402652
2.394478,142,161.329085
3.101061,140,175.382618
7.174045,157,190.795023
3.478132,142,204.83156
2.06981,145,20.999545
35.558386,230,41.850544
4.498514,149,56.501133
5.077068,145,70.474039
6.328136,142,84.305049
6.991576,149,98.736205
22.280317,205,118.099973
7.619127,153,133.106647
10.934804,150,147.711874
3.305058,137,161.548821
